lsoa_code,borough,major_category,minor_category,value,year,month
E01000457,Bexley,Drugs,Drug Trafficking,0,2014,9
E01000507,Brent,Criminal Damage,Criminal Damage To Dwelling,0,2013,4
E01001681,Greenwich,Theft and Handling,Other Theft Person,0,2009,8
E01001224,Ealing,Violence Against the Person,Assault with Injury,1,2009,10
E01004284,Tower Hamlets,Criminal Damage,Criminal Damage To Dwelling,0,2016,9
E01002655,Hounslow,Drugs,Drug Trafficking,0,2015,2
E01003565,Newham,Theft and Handling,Theft From Motor Vehicle,0,2008,11
E01003588,Newham,Robbery,Business Property,0,2012,9
E01000499,Brent,Fraud or Forgery,Other Fraud & Forgery,0,2011,7
E01000359,Bexley,Theft and Handling,Motor Vehicle Interference & Tampering,0,2011,9
E01003219,Lewisham,Violence Against the Person,Other violence,0,2010,11
E01001706,Greenwich,Violence Against the Person,Common Assault,0,2010,7
E01000469,Bexley,Violence Against the Person,Wounding/GBH,0,2015,7
E01001827,Hackney,Violence Against the Person,Murder,0,2009,4
E01000125,Barnet,Violence Against the Person,Offensive Weapon,1,2008,4
E01004549,Wandsworth,Drugs,Possession Of Drugs,1,2009,12
E01003507,Newham,Violence Against the Person,Assault with Injury,1,2014,7
E01004056,Southwark,Theft and Handling,Other Theft Person,0,2013,12
E01000885,Camden,Violence Against the Person,Wounding/GBH,0,2014,6
E01003047,Lambeth,Violence Against the Person,Offensive Weapon,1,2009,1
E01000743,Bromley,Sexual Offences,Rape,0,2010,8
E01001975,Haringey,Theft and Handling,Handling Stolen Goods,0,2014,8
E01002460,Hillingdon,Fraud or Forgery,Counted per Victim,0,2010,3
E01004717,Westminster,Theft and Handling,Theft From Motor Vehicle,3,2013,8
E01000194,Barnet,Fraud or Forgery,Other Fraud & Forgery,0,2013,4
E01003261,Lewisham,Criminal Damage,Criminal Damage To Motor Vehicle,0,2015,6
E01001431,Enfield,Burglary,Burglary in a Dwelling,0,2014,3
E01000905,Camden,Violence Against the Person,Assault with Injury,1,2016,8
E01003284,Lewisham,Theft and Handling,Other Theft Person,0,2012,3
E01003303,Lewisham,Burglary,Burglary in Other Buildings,0,2013,6
E01000020,Barking and Dagenham,Drugs,Drug Trafficking,0,2016,12
E01004501,Wandsworth,Criminal Damage,Criminal Damage To Other Building,0,2013,2
E01003616,Newham,Violence Against the Person,Wounding/GBH,0,2012,4
E01004061,Southwark,Violence Against the Person,Harassment,0,2009,7
E01004095,Sutton,Fraud or Forgery,Counted per Victim,0,2009,7
E01002204,Harrow,Theft and Handling,Other Theft Person,0,2012,11
E01004342,Waltham Forest,Other Notifiable Offences,Other Notifiable,0,2009,2
E01001069,Croydon,Robbery,Personal Property,0,2009,5
E01004208,Tower Hamlets,Criminal Damage,Criminal Damage To Motor Vehicle,1,2015,2
E01001883,Hammersmith and Fulham,Sexual Offences,Other Sexual,0,2014,7
E01000914,Camden,Sexual Offences,Other Sexual,0,2009,9
E01004765,Westminster,Sexual Offences,Other Sexual,0,2016,6
E01000887,Camden,Theft and Handling,Other Theft,3,2009,8
E01000936,Camden,Violence Against the Person,Wounding/GBH,0,2016,12
E01002498,Hillingdon,Robbery,Personal Property,0,2013,5
E01001021,Croydon,Theft and Handling,Theft From Motor Vehicle,0,2010,8
E01003475,Merton,Criminal Damage,Criminal Damage To Other Building,0,2008,1
E01004209,Tower Hamlets,Theft and Handling,Theft From Motor Vehicle,1,2015,11
E01004199,Tower Hamlets,Other Notifiable Offences,Going Equipped,0,2010,5
E01004252,Tower Hamlets,Drugs,Drug Trafficking,1,2008,4
E01002177,Harrow,Violence Against the Person,Offensive Weapon,0,2010,4
E01000162,Barnet,Theft and Handling,Theft From Shops,1,2016,2
E01033485,Brent,Robbery,Business Property,0,2010,6
E01002222,Harrow,Robbery,Personal Property,0,2010,3
